Challenge Date,IP Address,User Agent,Country,Challenge Type
Mon Jun 09 22:32:52 UTC 2025,156.228.176.67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Mon Jun 09 22:32:52 UTC 2025,156.228.176.67,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Mon Jun 09 23:04:15 UTC 2025,156.228.124.59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Mon Jun 09 23:04:15 UTC 2025,156.228.124.59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Tue Jun 10 03:01:00 UTC 2025,156.228.79.242,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Tue Jun 10 03:01:00 UTC 2025,156.228.79.242,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Tue Jun 10 06:32:12 UTC 2025,156.228.97.213,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Tue Jun 10 06:32:12 UTC 2025,156.228.97.213,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",South Africa,CAPTCHA_CHALLENGE
Mon Aug 04 02:40:17 UTC 2025,84.17.35.74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Italy,REHAB_RESTRICTION_CHALLENGE
Mon Aug 04 02:40:17 UTC 2025,84.17.35.74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Italy,REHAB_RESTRICTION_CHALLENGE
Mon Aug 04 02:40:18 UTC 2025,84.17.35.74,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",Italy,REHAB_RESTRICTION_CHALLENGE
Fri Oct 10 18:15:23 UTC 2025,74.197.206.86,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Fri Oct 10 18:15:34 UTC 2025,209.122.222.145,"Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro Build/BD3A.250721.001.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.207 Mobile Safari/537.36 com.linkedin.android/203400 [LinkedInApp]/2.203.22",United States,SSP_BLOCKING_CHALLENGE
Fri Oct 10 18:15:35 UTC 2025,209.122.222.145,"Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro Build/BD3A.250721.001.E1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/140.0.7339.207 Mobile Safari/537.36 com.linkedin.android/203400 [LinkedInApp]/2.203.22",United States,LINKEDIN_APP_CHALLENGE
Fri Oct 10 18:15:37 UTC 2025,74.197.206.86,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
