Action,Date,Ad Title/Id,Page/App
Impression,2025/10/22,752004276,yahoo.com
Impression,2025/10/22,777021574,yahoo.com
Impression,2025/10/22,777021574,yahoo.com
Impression,2025/10/22,869201734,yahoo.com
Impression,2025/10/24,891302746,9news.com.au
Impression,2025/10/24,904501093,Samsung TV Plus FREE
Impression,2025/10/25,794298756,Samsung TV Plus FREE
Impression,2025/10/25,902136473,Samsung TV Plus FREE
Impression,2025/10/25,904381163,WatchFree+
Impression,2025/10/25,904381163,g15147002586
Impression,2025/10/25,904510593,WatchFree+
Impression,2025/10/26,891302756,Samsung TV Plus FREE
Impression,2025/10/26,905440316,Samsung TV Plus FREE
Impression,2025/10/26,922171546,Samsung TV Plus FREE
Impression,2025/10/27,714175483,Samsung TV Plus FREE
Impression,2025/10/27,742368584,Samsung TV Plus FREE
Impression,2025/10/27,756922153,Samsung TV Plus FREE
Impression,2025/10/27,860002993,Samsung TV Plus FREE
Impression,2025/10/27,860002993,g15147002586
Impression,2025/10/27,904520883,Samsung TV Plus FREE
Impression,2025/10/27,905431396,Samsung TV Plus FREE
Impression,2025/10/27,905460066,Samsung TV Plus FREE
Impression,2025/10/27,922029756,Samsung TV Plus FREE
Impression,2025/10/28,669972644,Samsung TV Plus FREE
Impression,2025/10/28,750502524,g15147002586
Impression,2025/10/28,756406653,Samsung TV Plus FREE
Impression,2025/10/28,823873646,Samsung TV Plus FREE
Impression,2025/10/28,840082824,Samsung TV Plus FREE
Impression,2025/10/28,904441193,Samsung TV Plus FREE
Impression,2025/10/28,908559846,Samsung TV Plus FREE
Impression,2025/10/29,855891404,Solitaire: Play Classic Cards
Impression,2025/10/29,879879256,nypost.com
Impression,2025/10/29,902136473,Samsung TV Plus FREE
Impression,2025/10/30,777041254,britannica.com
Impression,2025/10/30,820430693,Samsung TV Plus FREE
Impression,2025/10/30,854226303,britannica.com
Impression,2025/10/30,879879256,britannica.com
Impression,2025/10/30,889339106,britannica.com
Impression,2025/10/30,905284826,Samsung TV Plus FREE
Impression,2025/10/30,922072406,Samsung TV Plus FREE
Impression,2025/10/30,922299776,g15147002586
Impression,2025/10/31,756472343,Samsung TV Plus FREE
Impression,2025/10/31,833001616,Samsung TV Plus FREE
Impression,2025/10/31,833001626,g15147002586
Impression,2025/11/01,863486943,Samsung TV Plus FREE
Impression,2025/11/01,863486953,Samsung TV Plus FREE
Impression,2025/11/01,904265973,buzzfeed.com
Impression,2025/11/02,886922134,Samsung TV Plus FREE
Impression,2025/11/02,886922174,Samsung TV Plus FREE
Impression,2025/11/02,887010744,g15147002586
Impression,2025/11/02,887081034,Samsung TV Plus FREE
Impression,2025/11/02,904381163,Samsung TV Plus FREE
Impression,2025/11/02,922082076,Samsung TV Plus FREE
Impression,2025/11/03,725287126,mensjournal.com
Impression,2025/11/04,742368584,WBD_Streaming
Impression,2025/11/04,820392143,WBD_Streaming
Impression,2025/11/04,820470803,WBD_Streaming
Impression,2025/11/04,862522684,Samsung TV Plus FREE
Impression,2025/11/04,904441193,Samsung TV Plus FREE
Impression,2025/11/04,904471373,Samsung TV Plus FREE
Impression,2025/11/04,905431396,Samsung TV Plus FREE
Impression,2025/11/06,887001694,nbcnews.com
Impression,2025/11/07,854226303,hollywoodreporter.com
Impression,2025/11/07,886991184,Samsung TV Plus FREE
Impression,2025/11/08,863486943,Samsung TV Plus FREE
Impression,2025/11/08,902136473,Samsung TV Plus FREE
Impression,2025/11/09,887060654,g15147002586
Impression,2025/11/14,889339106,theatlantic.com
Impression,2025/11/17,863486943,OneFOX
Impression,2025/11/17,879879256,foodnetwork.com
Impression,2025/11/19,863486943,OneFOX
Impression,2025/11/19,948831086,abc15.com
Impression,2025/11/20,854226303,CallApp: Caller ID & Block
Impression,2025/11/20,911645483,CallApp: Caller ID & Block
Impression,2025/11/20,948831086,CallApp: Caller ID & Block
Impression,2025/11/23,966210936,Vinted: Sell vintage clothes
Impression,2025/11/24,968208616,Stampen
Impression,2025/11/25,887001694,oregonlive.com
Impression,2025/11/26,863486953,OneFOX
Impression,2025/11/28,877747156,thehill.com
Impression,2025/11/28,877863716,thehill.com
Impression,2025/11/29,972839306,wfla.com
Impression,2025/11/29,974967966,telegraph.co.uk
Impression,2025/12/01,777021574,mail.yahoo.com
Impression,2025/12/01,854226303,mail.yahoo.com
Impression,2025/12/01,870050444,mail.yahoo.com
Impression,2025/12/01,926726014,mail.yahoo.com
Impression,2025/12/01,939081726,mail.yahoo.com
Impression,2025/12/01,959507106,mail.yahoo.com
Impression,2025/12/01,972839306,mail.yahoo.com
Impression,2025/12/01,972839306,nypost.com
Impression,2025/12/01,974097336,mail.yahoo.com
Impression,2025/12/01,974967966,mail.yahoo.com
Impression,2025/12/01,974967966,usatoday.com
Impression,2025/12/02,408155083,mail.yahoo.com
Impression,2025/12/02,410181453,mail.yahoo.com
Impression,2025/12/02,589006716,msn.com
Impression,2025/12/02,718807916,mail.yahoo.com
Impression,2025/12/02,729764064,mail.yahoo.com
Impression,2025/12/02,747523074,mail.yahoo.com
Impression,2025/12/02,777089294,mail.yahoo.com
Impression,2025/12/02,814401956,mail.yahoo.com
Impression,2025/12/02,826461244,mail.yahoo.com
Impression,2025/12/02,854226303,mail.yahoo.com
Impression,2025/12/02,886683164,OneFOX
Impression,2025/12/02,894761214,mail.yahoo.com
Impression,2025/12/02,914292573,mail.yahoo.com
Impression,2025/12/02,916010163,msn.com
Impression,2025/12/02,919260624,mail.yahoo.com
Impression,2025/12/02,926726014,mail.yahoo.com
Impression,2025/12/02,934474414,mail.yahoo.com
Impression,2025/12/02,934756984,mail.yahoo.com
Impression,2025/12/02,942707776,mail.yahoo.com
Impression,2025/12/02,953784576,mail.yahoo.com
Impression,2025/12/02,965081196,mail.yahoo.com
Impression,2025/12/02,971062803,mail.yahoo.com
Impression,2025/12/02,971177363,mail.yahoo.com
Impression,2025/12/02,971421613,mail.yahoo.com
Impression,2025/12/02,972182796,mail.yahoo.com
Impression,2025/12/02,975957036,mail.yahoo.com
Impression,2025/12/02,976655336,mail.yahoo.com
Impression,2025/12/02,976667886,mail.yahoo.com
Impression,2025/12/02,977957896,mail.yahoo.com
Impression,2025/12/02,979249496,mail.yahoo.com
Impression,2025/12/02,981283636,mail.yahoo.com
Impression,2025/12/03,886733234,OneFOX
Impression,2025/12/03,886802334,OneFOX
Impression,2025/12/03,916714624,msn.com
Impression,2025/12/03,934926864,mail.yahoo.com
Impression,2025/12/03,937507326,msn.com
Impression,2025/12/03,958413296,msn.com
Impression,2025/12/03,965564276,msn.com
Impression,2025/12/03,971278233,msn.com
Impression,2025/12/04,1155406096,msn.com
Impression,2025/12/04,863486953,OneFOX
Impression,2025/12/04,953684996,mail.yahoo.com
Impression,2025/12/04,980811576,mail.yahoo.com
Impression,2025/12/05,752004306,mail.yahoo.com
Impression,2025/12/05,797215446,mail.yahoo.com
Impression,2025/12/05,797427616,mail.yahoo.com
Impression,2025/12/05,880622154,mail.yahoo.com
Impression,2025/12/05,891302746,mail.yahoo.com
Impression,2025/12/05,914239543,mail.yahoo.com
Impression,2025/12/05,917111844,mail.yahoo.com
Impression,2025/12/05,926945754,mail.yahoo.com
Impression,2025/12/05,934926864,mail.yahoo.com
Impression,2025/12/05,943298734,mail.yahoo.com
Impression,2025/12/05,969838463,mail.yahoo.com
Impression,2025/12/05,970611643,mail.yahoo.com
Impression,2025/12/05,971513533,mail.yahoo.com
Impression,2025/12/05,976556256,mail.yahoo.com
Impression,2025/12/05,979794936,nypost.com
Impression,2025/12/05,984812846,mail.yahoo.com
Impression,2025/12/07,911201423,mail.yahoo.com
Impression,2025/12/07,934424584,mail.yahoo.com
Impression,2025/12/07,972839306,mail.yahoo.com
Impression,2025/12/07,974097336,mail.yahoo.com
Impression,2025/12/08,910604554,mail.yahoo.com
Impression,2025/12/08,911201423,mail.yahoo.com
Impression,2025/12/08,911221543,mail.yahoo.com
Impression,2025/12/08,943384814,mail.yahoo.com
Impression,2025/12/08,943532664,mail.yahoo.com
Impression,2025/12/08,943654674,mail.yahoo.com
Impression,2025/12/08,943753454,mail.yahoo.com
Impression,2025/12/08,972839306,mail.yahoo.com
Impression,2025/12/08,974097336,mail.yahoo.com
Impression,2025/12/08,981094676,dailymail.co.uk
Impression,2025/12/08,990186513,mail.yahoo.com
Impression,2025/12/10,905062493,overwolf.com
Impression,2025/12/10,911201423,overwolf.com
Impression,2025/12/10,943683094,foxnews.com
Impression,2025/12/10,943683094,mail.yahoo.com
Impression,2025/12/10,971332043,thesaurus.com
Impression,2025/12/11,854226303,mail.yahoo.com
Impression,2025/12/11,934966934,mail.yahoo.com
Impression,2025/12/11,988624316,mail.yahoo.com
Impression,2025/12/11,996168104,mail.yahoo.com
Impression,2025/12/12,718807916,mail.yahoo.com
Impression,2025/12/12,926662994,yahoo.com
Impression,2025/12/12,965715266,recipetineats.com
Impression,2025/12/12,966015136,recipetineats.com
Impression,2025/12/12,966916316,recipetineats.com
Impression,2025/12/12,971332043,yahoo.com
Impression,2025/12/12,971351753,cookieandkate.com
Impression,2025/12/12,971613243,mail.yahoo.com
Impression,2025/12/13,1070196024,mail.yahoo.com
Impression,2025/12/13,1071891334,mail.yahoo.com
Impression,2025/12/13,1072086244,mail.yahoo.com
Impression,2025/12/13,1072161424,mail.yahoo.com
Impression,2025/12/13,610499386,mail.yahoo.com
Impression,2025/12/13,713012044,mail.yahoo.com
Impression,2025/12/13,721449954,mail.yahoo.com
Impression,2025/12/13,797400396,mail.yahoo.com
Impression,2025/12/13,797408676,mail.yahoo.com
Impression,2025/12/13,814401956,mail.yahoo.com
Impression,2025/12/13,837842956,mail.yahoo.com
Impression,2025/12/13,840092594,mail.yahoo.com
Impression,2025/12/13,849182684,mail.yahoo.com
Impression,2025/12/13,849212314,mail.yahoo.com
Impression,2025/12/13,877931106,mail.yahoo.com
Impression,2025/12/13,880622154,mail.yahoo.com
Impression,2025/12/13,886683164,g15147002586
Impression,2025/12/13,891380706,mail.yahoo.com
Impression,2025/12/13,912128753,mail.yahoo.com
Impression,2025/12/13,926654644,mail.yahoo.com
Impression,2025/12/13,926945754,mail.yahoo.com
Impression,2025/12/13,934840264,mail.yahoo.com
Impression,2025/12/13,934926864,mail.yahoo.com
Impression,2025/12/13,935147494,mail.yahoo.com
Impression,2025/12/13,942344756,g15147002586
