Day,Title,How to apply (optional),URL of where to,Company,Full Job Description,Location,Country,Tags Matched,Notes,Within_3_Days
2025-09-20,"Senior Research Associate/ Research Associate, Platform",,boards.greenhouse.io/manifoldbio/jobs/4913427007,Manifold Bio,"Senior Research Associate/ Research Associate, Platform",Boston,United States,Teachable; Manifold,,yes
2025-09-21,Billing & Collections Data Analyst,,boards.greenhouse.io/toast/jobs/7239473,Toast,Billing & Collections Data Analyst,Remote,,Power BI; Hex; Oracle; Looker; SQL; Snowflake,,yes
2025-09-21,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/wPaqkvutxC/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,France,SQL; Google BigQuery; Excel; Power BI; Looker,,yes
2025-09-21,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/Xi3Z1x078w/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Denmark,Power BI; Google; SQL; Looker; Excel,,yes
2025-09-21,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/sWP6vzW3DE/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Bosnia And Herzegovina,Looker; Excel; Power BI; SQL; Google,,yes
2025-09-21,Data Scientist,,boards.greenhouse.io/distantjob/jobs/8173090002,DistantJob,Data Scientist,Remote,,NumPy; SQL; Python; ETL; Power BI; Google,,yes
2025-09-21,Data Scientist,,liveramp.wd5.myworkdayjobs.com/liverampcareers/job/san-francisco/data-scientist_jr011767,LiveRamp,Data Scientist,San Francisco,United States,SQL; scikit-learn; Spark SQL; NumPy; Spark; Python; LiveRamp,,yes
2025-09-21,Machine Learning Engineer (Remote),,jobs.ashbyhq.com/output/675db22c-8a5a-4a6e-a6c0-277edac3d87c,Output Biosciences,Machine Learning Engineer (Remote),Remote,United States,Python; TensorFlow,,yes
2025-09-21,Machine Learning Engineer,,boards.greenhouse.io/oddball/jobs/7445579003,Oddball,Machine Learning Engineer,Remote,,AWS; Databricks; Power BI; scikit-learn; TensorFlow; PyTorch; Python; ETL; Spark; Jupyter,,yes
2025-09-21,Network Pricing Data Analyst,,boards.greenhouse.io/capitalrx/jobs/4928438008,Capital Rx,Network Pricing Data Analyst,Remote,,AWS; JSON; SQL; Java; Excel,,yes
2025-09-21,Senior Data Scientist,,miovision.applytojob.com/apply/PqGPpAJLYn/Senior-Data-Scientist,Miovision,Senior Data Scientist,Remote,,Git; AWS; Looker; Snowflake; Streamlit; Python; SQL; JavaScript; C#,,yes
2025-09-21,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/sY8DkDxYW3/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Italy,Excel; Power BI; Looker; Google BigQuery; SQL,,yes
2025-09-21,"Senior Data Analyst, Product",,boards.greenhouse.io/calendly/jobs/8163001002,Calendly,"Senior Data Analyst, Product",Remote,,Python; Calendly; Hex; SQL,,yes
2025-09-21,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/icX2LSs34Z/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Sweden,Looker; SQL; Power BI; Google; Excel,,yes
2025-09-21,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/PZB6Ehbtid/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Armenia,SQL; Excel; Google; Power BI; Looker,,yes
2025-09-20,Senior Machine Learning Engineer,,boards.greenhouse.io/federato/jobs/4928316008,Federato,Senior Machine Learning Engineer,Remote,,Veeva; Salesforce; Box; Zoom; Kubeflow,,yes
2025-09-20,Senior Data Analyst,,boards.greenhouse.io/urbancompass/jobs/7263508,Compass,Senior Data Analyst,San Francisco,United States,PySpark; Scala; Databricks; SQL; Looker; Microsoft; Power BI; Python; Maven; Tableau,,yes
2025-09-20,"Data Analyst, Marketing",,turo.wd12.myworkdayjobs.com/turo_careers/job/san-francisco/data-analyst--marketing_r-102257,Turo,"Data Analyst, Marketing",San Francisco,United States,SQL; Google; Go; Python; Power BI,,yes
2025-09-20,Data Analyst,,current-vacancies.com/jobs/advert/3963235?cid=3287,One YMCA,Data Analyst,Remote,,Signpost; GDPR; Accessibility,,yes
2025-09-20,Senior Data Analyst,,jobs.ashbyhq.com/onoshealth/96e478f8-f111-46bc-97ec-50d16a6cbf21,Onos Health,Senior Data Analyst,San Francisco,United States,Tableau; SQL,,yes
2025-09-20,"Senior Clinical Data Scientist, Data Products & Insights",,jobs.lever.co/npowermedicine/f995742b-9037-4406-aa76-95df710634d6,N-Power Medicine,"Senior Clinical Data Scientist, Data Products & Insights",Remote,,Shiny,,yes
2025-09-20,Data Analyst Jr.,,ansiblegovernmentsolutions.applytojob.com/apply/HGBJdIIJSd/Data-Analyst-Jr,Ansible Government Solutions,Data Analyst Jr.,Remote,United States,Sigma; Ansible; Power BI; Excel,,yes
2025-09-19,Risk Data Analyst,,jobs.ashbyhq.com/imprint/925a3502-357e-4258-9a98-ec0f6d2a6c15,Imprint,Risk Data Analyst,Remote,United States,Tableau; Rakuten; SQL; Booking.com; Python; Airflow; dbt,,yes
2025-09-19,Principal Healthcare Data Analyst,,recruitingbypaycor.com/career/JobIntroduction.action?clientId=8a7883d077592447017763c3f0f91146&id=8a7887ac995981fd01995e481d56397f,b.well Connected Health,Principal Healthcare Data Analyst,Remote,,Python; SQL; FHIR; Databricks,,yes
2025-09-19,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/vTmSZskfro/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Lithuania,Excel; SQL; Google BigQuery; Power BI; Looker,,yes
2025-09-19,"Senior Manager, Machine Learning Engineering",,boards.greenhouse.io/gofundme/jobs/7255386,GoFundMe,"Senior Manager, Machine Learning Engineering",Remote,,Python,,yes
2025-09-19,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/9b4EDrSEnr/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Germany,Google; Power BI; Excel; Looker; SQL,,yes
2025-09-19,Finance Assistant | Bookkeeper | Data Analyst | Reports Specialist,,coworq.applytojob.com/apply/SN0bMdW9cI/Finance-Assistant-Bookkeeper-Data-Analyst-Reports-Specialist,CoWorq,Finance Assistant | Bookkeeper | Data Analyst | Reports Specialist,Remote,,,,yes
2025-09-19,Mid Marketing Data Analyst,,happymammoth.applytojob.com/apply/96QWMbIvFk/Mid-Marketing-Data-Analyst,Happy Koala,Mid Marketing Data Analyst,Remote,Italy,Power BI; Looker; SQL; Excel; Google BigQuery,,yes
2025-09-21,Senior Full Stack Engineer (US),,jobs.lever.co/airdna/52407dee-a35f-4331-945c-0a3675b2e7fe,AirDNA,Senior Full Stack Engineer (US),Remote,,Python; GitLab CI; Redis; Next.js; Kubernetes; SQL; React; Docker; AWS; TypeScript; PostgreSQL,,yes
2025-09-21,"Senior Software Engineer, Full-stack",,jobs.ashbyhq.com/onebrief/7d6a2098-0889-487a-9ced-280b359ae376,Onebrief,"Senior Software Engineer, Full-stack",Remote,United States,TypeScript; Kubernetes; Node.js; React; AWS; Redis; PostgreSQL,,yes
2025-09-21,Senior Backend Engineer,,jobs.lever.co/heartbeathealth/c6c8d211-d83b-485e-aa2c-f277a6bacd48,Heartbeat Health,Senior Backend Engineer,remote,,Go; Actix; Heartbeat; Kotlin; Rust; AWS; OpenAPI; Serde; FHIR,,yes
2025-09-21,"Staff Backend Engineer, DevOps",,boards.greenhouse.io/pulley/jobs/4926339008,Pulley,"Staff Backend Engineer, DevOps",Remote,,Go; Stripe,,yes
2025-09-21,Sr Software Engineer,,henryscheinone.applytojob.com/apply/curb9iq6ow/Sr-Software-Engineer,Henry Schein One,Sr Software Engineer,Remote,,jQuery; Backbone.js; C++; HTML5; JavaScript; GitLab; Microsoft; SQL; PostgreSQL; Jira; C#,,yes
2025-09-20,Master Software Engineer,,boards.greenhouse.io/clarityinnovates/jobs/4896198007,Clarity Innovations,Master Software Engineer,Remote,,SonarQube; Docker; Kubernetes; Spring Boot,,yes
2025-09-20,Sr Software Engineer (Salesforce),,jobs.lever.co/nava/b76d3c3b-ae12-4975-b242-e2c8fa329c1a,Nava,Sr Software Engineer (Salesforce),Remote,,Jenkins; .NET; GitHub; Tableau; Azure; Salesforce; LinkedIn; Python; ETL; Ruby,,yes
2025-09-20,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",,boards.greenhouse.io/infuse/jobs/4610454005,INFUSE,"Senior Full-Stack/Backend Engineer (Python & JavaScript) – Remote, Contract",Remote,,Zoom; AWS; PostgreSQL; Node.js; Telegram; Git; MongoDB; Vue.js; S3; GraphQL; Python; React; Redis,,yes
